fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2018-2019,,ASSAM,CHIRANG,885481.0,228.01534842374537,22.0,27.0,780.0,4099.0,48906.0,11783.0,416184.0,83391.0,3165.15297987,35984.0,48995.0,82610.0,185749.0,37.0,110133.0,237448.0,4879.0,1467.04947,344488.0,73.0,62.07,63.03,100.65,Good,75.00930692889506,10.490857463941905
2018-2019,,ASSAM,UDALGURI,2307525.0,228.01534842374537,29.0,40.0,2147.0,6463.0,90651.0,11362.0,460323.625,102149.0,6205.5960027764,79347.0,98795.0,121917.0,254811.0,36.0,168002.0,331636.0,8610.0,4207.69323,1067282.0,59.5,67.73,64.12,100.43,Good,72.56877894310783,11.281598520848
2018-2019,,ASSAM,Biswanath,0.0,228.01534842374537,17.0,163.5,651.0,3630.0,30533.0,13166.0,99704.0,26446.0,858.842601622,24083.0,28636.0,79360.0,153685.0,10.0,132658.0,236430.0,4281.0,803.43518,180085.0,68.0,74.33,59.66,100.65,Good,59.8230035127923,10.089302998584339
2018-2019,,ASSAM,CHARAIDEO,0.0,228.01534842374537,12.0,23.0,436.0,1533.0,3666.0,1196.0,3667.0,2096.0,303.4779515,12245.0,14710.0,37947.0,74203.0,7.0,65083.0,113418.0,1969.0,287.99815,61814.0,59.5,76.67,69.39,100.65,Good,58.305548299863254,9.4129546320379
2020-2021,June,ASSAM,KOKRAJHAR,536662.0,228.01534842374537,17.0,57.0,532.0,8477.0,5847.0,4711.0,224957.0,105335.0,968.859378,30300.0,43649.0,110913.0,295013.0,0.0,198157.0,493828.0,9009.0,968.859378,242117.0,76.0,68.93,79.24,100.18,Good,55.97228460261307,10.318935994253193
2020-2021,June,ASSAM,KAMRUP,786059.0,228.01534842374537,18.0,25.0,1981.0,9979.0,48076.0,23990.0,55316.0,38487.0,1406.831004,42245.0,58336.0,153124.0,330551.0,35.0,286667.0,584478.0,11960.0,1406.831004,310817.0,74.0,68.63,63.8,100.05,Good,53.415286726410784,10.651264953747189
2020-2021,June,ASSAM,SONITPUR,449390.0,228.01534842374537,14.0,20.0,1454.0,10412.0,12435.0,6933.0,24295.0,13990.0,848.80132,30289.0,33890.0,121207.0,216259.0,3.0,187648.0,297566.0,11866.0,848.77132,195620.0,77.0,75.91,65.17,100.65,Good,64.59274812414733,10.318572904021282
2020-2021,June,ASSAM,Morigaon,493146.0,228.01534842374537,15.0,46.0,607.0,8441.0,46965.0,28259.875,50233.0,33151.0,881.621316,32076.0,43682.0,133154.0,274131.0,0.0,186665.0,354647.0,9048.0,881.621316,201820.0,74.0,54.49,68.66,100.01,Good,71.33313690300807,10.375894541398061
2020-2021,June,ASSAM,JORHAT,185650.0,228.01534842374537,11.0,28.0,398.0,3944.0,7950.0,8398.0,21942.0,12858.0,379.42413,16293.0,17881.0,85364.0,138377.0,1.0,146012.0,214847.0,4342.0,379.42413,79866.0,64.0,81.48,69.4,100.65,Good,58.46368791606169,9.698552220870587
2020-2021,June,ASSAM,Dima Hasao,138588.0,228.01534842374537,17.0,5.0,387.0,6460.0,2822.0,794.0,122161.0,56963.0,196.68154,7873.0,10259.0,25728.0,62252.0,0.0,33950.0,78853.0,6847.0,196.68154,52152.0,82.0,78.38,48.32,100.65,Good,75.7820324005891,8.971321471503682
2020-2021,June,ASSAM,SOUTH SALMARA-MANKACHAR,185479.0,228.01534842374537,12.0,3.0,39.0,1787.0,2484.0,1063.0,524.0,163.0,374.05191,13976.0,15114.0,40131.0,52192.0,0.0,63515.0,82326.0,1826.0,374.05191,97192.0,69.0,83.98,83.875,100.65,Good,63.183499960639224,9.545168400484906
2022-2023,,ASSAM,NALBARI,2018681.0,228.01534842374537,28.0,32.0,5263.0,32087.0,63667.0,8139.0,34157.0,4833.0,4878.3275834,73174.0,110565.0,123087.0,230447.0,154.0,206661.0,357196.0,37350.0,4754.199203,967763.0,90.0,77.31,53.62,100.65,Good,59.55985889935692,11.200609111560087
2022-2023,,ASSAM,LAKHIMPUR,2667883.0,232.21427525869,31.0,162.0,7176.0,34017.0,142258.0,17098.0,460323.625,89126.0,7207.419785319,92463.0,139020.75,158735.0,360108.0,227.5,243969.0,509067.0,41193.0,6751.709006,1494720.0,92.0,84.31,57.53,100.62,Good,65.0635941451578,11.43457465855756
2022-2023,,ASSAM,NAGAON,3033031.0,228.01534842374537,34.0,163.5,16524.0,39510.0,149327.375,17543.0,81107.0,11699.0,8405.946894008124,102912.25,139020.75,218435.0,357681.0,227.5,378000.5,636023.0,61619.25,7185.215666187501,1536031.75,93.0,81.5,39.89,100.65,Good,57.786960599258464,11.541641679324568
2022-2023,,ASSAM,GOLAGHAT,2495996.0,230.361135111388,33.0,131.0,8433.0,24736.0,113924.0,15145.0,243147.0,34675.0,5940.218818631,69854.0,106712.0,144295.0,286923.0,227.5,222153.0,437836.0,33169.0,5359.03391,1135473.0,89.0,87.12,42.45,100.27,Good,64.95298285415907,11.154176944084588
2022-2023,,ASSAM,HAILAKANDI,1774948.0,230.776633291705,31.0,68.0,6509.0,20426.0,94583.0,15011.0,10330.0,2746.0,4260.253708465,57233.0,77116.0,116121.0,203544.0,92.0,166389.0,270991.0,26935.0,4141.192066,601203.0,90.0,83.02,46.56,100.65,Good,69.78886825451201,10.954903406373264
2022-2023,,ASSAM,HOJAI,1866323.0,228.01534842374537,32.0,163.5,5593.0,24638.0,149327.375,20056.0,34212.0,5470.0,4719.59983956,62911.0,90321.0,89260.0,153149.0,181.0,173322.0,288790.0,30231.0,4681.033197,911073.0,96.0,71.86,48.8,100.65,Good,51.49952112253493,11.049492203506839
2022-2023,,ASSAM,TAMULPUR,1369021.0,241.866183791226,24.0,12.0,968.0,19073.0,112091.0,17402.0,306902.0,54620.0,2074.833950374,33106.0,48255.0,67039.0,135190.0,39.0,123364.0,219894.0,20041.0,1960.472958,437898.0,91.0,70.75,59.18,100.65,Good,54.34243377322395,10.407500019368872
2020-2021,May,ASSAM,KOKRAJHAR,190727.0,228.01534842374537,13.0,27.0,244.0,8391.0,2285.0,4717.0,66795.0,105312.0,299.24711,14487.0,19517.0,110756.0,295703.0,0.0,197963.0,494911.0,8635.0,299.24711,86980.0,76.0,68.82,74.04,100.19,Good,55.94782863464385,9.58107599956325
2020-2021,May,ASSAM,DHEMAJI,248921.0,228.01534842374537,11.0,54.0,566.0,10384.0,9090.0,14216.0,94720.0,113522.125,371.71814,21224.0,35291.0,121818.0,392307.0,0.0,172585.0,505062.0,10950.0,371.71814,130141.0,80.0,46.4,56.34,100.65,Good,70.58434974070748,9.962935011179548
2020-2021,May,ASSAM,GOLAGHAT,331429.0,228.01534842374537,10.0,43.0,238.0,11124.0,14478.0,14124.0,29757.0,34939.0,605.11137,31669.0,41210.0,131032.0,270042.0,2.0,186634.0,364532.0,11362.0,605.11137,148014.0,91.0,86.65,63.82,100.34,Good,70.2080006858343,10.363125139532686
2020-2021,May,ASSAM,CHIRANG,119846.0,228.01534842374537,11.0,7.0,448.0,1930.0,4488.0,11400.0,61833.0,81365.0,227.52044,10414.0,14315.0,80969.0,181677.0,0.0,112926.0,241387.0,2378.0,227.52044,59841.0,76.0,58.3,57.05,99.93,Good,71.70093689672883,9.251002353695073
2020-2021,May,ASSAM,HOJAI,131052.0,228.01534842374537,12.0,32.0,230.0,5212.0,13540.0,19820.0,2670.0,4982.0,164.30782,10427.0,13523.0,78470.0,135160.0,0.0,122828.0,203236.0,5442.0,164.30782,52734.0,84.0,54.49,55.82,99.93,Good,63.886084606115865,9.252249775053393
2020-2021,May,ASSAM,SOUTH SALMARA-MANKACHAR,78019.0,228.01534842374537,9.0,1.0,18.0,1778.0,1163.0,1065.0,87.0,162.0,151.8075,8112.0,8683.0,38307.0,50370.0,0.0,60697.0,79558.0,1796.0,151.8075,41659.0,69.0,86.48,83.875,100.46,Good,63.111850668072556,9.001222992395064
