fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2024-2025,,ASSAM,GOLAGHAT,2271562.0,248.330423163465,25.0,69.0,15213.0,16988.0,60996.0,14586.0,159269.0,33668.0,2819.811167887,33807.0,45480.0,135504.0,259321.0,142.0,220363.0,397620.0,32201.0,2134.464553,460158.0,93.0,20.08,20.93,99.96,Good,61.49126668270082,10.428452739855837
2024-2025,,ASSAM,CHIRANG,1518528.0,251.607777711327,32.0,21.0,15035.0,19043.0,41412.0,10364.0,367440.0,75871.0,2442.63285377,19863.0,27305.0,78306.0,162633.0,10.0,130106.0,258619.0,34078.0,1640.751931,373444.0,94.0,16.1,1.33,99.98,Good,60.18630962446005,9.896664327188002
2024-2025,,ASSAM,WEST KARBI ANGLONG,415206.0,251.875127563961,26.0,6.0,670.0,6692.0,952.0,1427.0,150205.0,39613.0,428.8885305,6354.0,7888.0,27787.0,53942.0,14.0,64260.0,114906.0,7362.0,422.04952,110305.0,93.0,66.86,4.1,99.53,Bad,43.24151882975412,8.756997183623554
2024-2025,,ASSAM,KOKRAJHAR,2332582.0,247.931038145569,34.0,118.0,18350.0,27603.0,33183.0,5920.0,460323.625,113522.125,6633.323500917,69036.0,99718.0,151876.0,323137.0,160.0,260819.0,535482.0,45953.0,5839.4379242,1307469.0,92.0,57.82,5.43,100.57,Good,58.23042032980727,11.142397871742514
2024-2025,,ASSAM,NALBARI,1402051.0,248.374935049255,23.0,27.0,14624.0,13766.0,34570.0,7165.0,22940.0,4367.0,2541.709590648,38193.0,53182.0,115419.0,202444.0,43.0,177203.0,291804.0,28390.0,2221.773404,469606.0,89.0,37.78,15.25,99.93,Good,65.13377313025175,10.550433714195359
2024-2025,,ASSAM,DARRANG,1221332.0,259.943621008426,28.0,59.0,5871.0,4060.0,38344.0,7544.0,5109.0,1123.0,4347.396042088,52402.0,79431.0,143917.0,279506.0,96.0,224137.0,397857.0,9931.0,3936.690174,756100.0,76.0,42.49,38.26,99.92,Good,64.20938979284992,10.866719120578702
2024-2025,,ASSAM,JORHAT,1936740.0,252.140040852226,23.0,34.0,4259.0,6285.0,52069.0,8055.0,91230.0,10516.0,2022.526191453,32836.0,37064.0,86651.0,131751.0,99.0,169538.0,236850.0,10544.0,1912.08635,480946.0,79.0,58.26,10.47,100.04,Good,51.11007561726575,10.399311207383771
2024-2025,,ASSAM,BAKSA,1720116.0,248.141719917023,32.0,84.0,11135.0,29335.0,72335.0,8037.0,460323.625,78238.0,4015.482499438,47342.0,57483.0,100828.0,177858.0,24.0,174277.0,286648.0,40470.0,3808.697482,996744.0,95.0,30.68,0.81,100.04,Good,57.85502389873592,10.765174252416243
2024-2025,,ASSAM,UDALGURI,2763459.0,250.060734586244,34.0,45.0,21303.0,30987.0,85148.0,12055.0,460323.625,111303.0,5726.85922775,57814.0,76762.0,143776.0,274345.0,131.0,234955.0,415613.0,52290.0,4957.531582,1190800.0,94.0,35.02,11.8,99.98,Good,61.19299440318359,10.965003536563062
2024-2025,,ASSAM,Biswanath,2522034.0,248.545610449428,31.0,163.5,6212.0,19860.0,112813.0,14198.0,257388.0,35650.0,4033.559366712,44572.0,61962.0,103697.0,176253.0,88.0,151492.0,235990.0,26072.0,3481.636853,792728.0,89.0,43.23,12.88,100.04,Good,68.45047923322683,10.70488357352507
2024-2025,,ASSAM,CHARAIDEO,718510.0,250.65925552005,22.0,31.0,1143.0,1825.0,2205.0,1195.0,4465.0,1909.0,697.012856475,10009.0,12251.0,41955.0,70435.0,53.0,83617.0,128449.0,2968.0,556.14521,124946.0,61.0,73.63,6.8,99.98,Good,50.17520360692204,9.211339872309265
2024-2025,,ASSAM,TAMULPUR,1196479.0,243.143231103252,23.0,7.0,5482.0,23055.0,61156.0,16949.0,236496.0,52566.0,1516.24051506,20994.0,28019.0,63231.0,129477.0,1.0,123730.0,219376.0,28537.0,1219.56025,295283.0,94.0,34.84,2.22,100.65,Good,51.1040168107977,9.952039593118293
2024-2025,,ASSAM,DHUBRI,1372141.0,252.300624727384,24.0,65.0,10983.0,17332.0,13827.0,2884.0,1326.0,316.0,3992.517480376,55902.0,78029.0,202741.0,376542.0,27.0,378000.5,661364.0,28315.0,3389.573111,666323.0,83.0,24.32,25.08,100.24,Good,53.635114239266876,10.931373324966124
2024-2025,,ASSAM,GOALPARA,1233372.0,245.545381600146,28.0,42.0,14733.0,13931.0,23660.0,7038.0,208349.0,48173.0,2489.61920984,33736.0,47436.0,111381.0,225332.0,28.0,220169.0,395519.0,28664.0,2344.06952,497783.0,93.0,64.59,2.66,100.04,Good,50.588865825797455,10.426350436912623
2024-2025,,ASSAM,GOLAGHAT,2271562.0,249.053517933527,25.0,72.0,15532.0,17739.0,62795.0,14482.0,164564.0,33239.0,2925.206937887,35267.0,47585.0,134952.0,254827.0,149.0,219118.0,391404.0,33271.0,2239.860323,480541.0,93.0,19.84,20.49,99.95,Good,61.58873301143676,10.470731316206917
2024-2025,,ASSAM,SIVASAGAR,1888355.0,251.030180008788,25.0,95.0,4663.0,9069.0,49202.0,8543.0,132527.0,14127.0,2411.264239831,35180.0,49018.0,83844.0,163265.0,91.0,126048.0,224883.0,13732.0,2216.76719,481415.0,80.0,47.22,18.04,99.89,Good,66.51751713632902,10.468261443129174
2024-2025,,ASSAM,DIBRUGARH,2127425.0,252.008786314772,20.0,68.0,6187.0,7928.0,40420.0,7747.0,92596.0,25706.0,2674.990257491,41638.0,53152.0,129566.0,230805.0,149.0,207052.0,333461.0,14115.0,2150.831989,518702.0,77.0,57.88,6.82,99.89,Good,62.576550818151965,10.636792507070695
2024-2025,,ASSAM,TINSUKIA,1752258.0,256.813078876543,21.0,23.0,5639.0,8963.0,12462.0,2775.0,65600.0,16600.0,1648.311128475,27436.0,33366.0,105734.0,169619.0,19.0,201866.0,286592.0,14602.0,1521.96419,354208.0,80.0,57.49,5.17,100.06,Good,52.37831036430107,10.219647746416857
2024-2025,,ASSAM,KARIMGANJ,2363047.0,248.348094165675,23.0,30.0,16418.0,26911.0,147337.0,23175.0,12626.0,1753.0,2877.657210136,41583.0,48729.0,135266.0,181083.0,137.0,223902.0,280797.0,43329.0,2413.916157,447331.0,96.0,59.06,4.32,99.91,Good,60.41303784691516,10.635470756881272
2024-2025,,ASSAM,KAMRUP (METRO),400624.0,252.099168975069,35.0,0.0,2484.0,3057.0,38501.0,7610.0,34186.0,9959.0,394.037709644,4047.0,4904.0,16113.0,33727.0,3.0,51346.0,95271.0,5541.0,359.48081,85225.0,93.0,21.36,1.22,100.65,Good,31.381217621625833,8.305978210967302
2024-2025,,ASSAM,HOJAI,1126211.0,251.692475815482,25.0,163.5,10693.0,14551.0,119951.0,20799.0,32073.0,5512.0,1987.903573585,26990.0,35997.0,90347.0,156694.0,6.0,159710.0,253560.0,25244.0,1741.900702,365213.0,93.0,26.69,5.72,99.93,Good,56.56940705027863,10.203258756085228
2024-2025,,ASSAM,CHARAIDEO,718510.0,250.73620896682,22.0,31.0,1161.0,1867.0,2205.0,1195.0,4527.0,1909.0,714.101714475,10082.0,12354.0,41988.0,70492.0,54.0,83622.0,128468.0,3028.0,567.97769,127725.0,62.0,72.85,6.71,99.99,Good,50.211666786252415,9.218606116393214
2024-2025,,ASSAM,MAJULI,535047.0,248.264699196751,28.0,19.0,2743.0,7226.0,47830.0,5584.0,179549.0,23083.0,1008.611709,13891.0,20599.0,29107.0,48125.0,35.0,34951.0,55372.0,9969.0,972.04319,186324.0,94.0,25.82,9.55,99.93,Good,83.27944837057595,9.539068413863964
2024-2025,,ASSAM,TAMULPUR,1196479.0,243.821428571429,24.0,7.0,5605.0,23051.0,62214.0,16956.0,241394.0,52622.0,1543.76835506,21191.0,28308.0,63279.0,129585.0,1.0,123747.0,219438.0,28656.0,1247.08809,301303.0,94.0,34.28,2.18,100.65,Good,51.135785109942056,9.961379030951905
2024-2025,,ASSAM,GOALPARA,1233372.0,244.895319520484,28.0,42.0,14751.0,13951.0,23723.0,6968.0,209698.0,47721.0,2490.33910984,33802.0,47519.0,111108.0,223943.0,28.0,219889.0,394088.0,28702.0,2344.78942,499390.0,93.0,64.48,2.66,100.03,Good,50.52913060680616,10.428304834928856
2024-2025,,ASSAM,LAKHIMPUR,2367740.0,251.10187666746,25.0,44.0,9944.0,28735.0,62424.0,16322.0,321061.0,82354.0,3016.117530167,39396.0,59850.0,144451.0,318986.0,68.0,235304.0,472982.0,38679.0,2562.843683,541266.0,92.0,47.32,4.96,99.89,Good,61.38909665794037,10.581444950255086
2024-2025,,ASSAM,Morigaon,1772076.0,256.30069755878,26.0,42.0,22406.0,18703.0,126077.0,28259.875,152229.0,33565.0,2856.781148852,40419.0,57334.0,145639.0,262133.0,17.0,231374.0,381051.0,41109.0,2716.37475,551940.0,94.0,32.43,24.75,99.85,Good,62.9452747499719,10.607079990957612
2024-2025,,ASSAM,TINSUKIA,1752258.0,256.570591726363,21.0,23.0,5720.0,8885.0,12472.0,2775.0,66816.0,16599.0,1661.062418475,27487.0,33425.0,105706.0,169605.0,19.0,201856.0,286600.0,14605.0,1534.71548,357256.0,80.0,57.15,5.13,100.04,Good,52.367033925174375,10.221504824783981
2024-2025,,ASSAM,Dima Hasao,341755.0,247.176180100669,27.0,7.0,855.0,4158.0,2665.0,572.0,131705.0,40594.0,426.627693141,5322.0,6725.0,20641.0,44222.0,8.0,35099.0,71429.0,5013.0,358.479614,61881.0,81.0,62.01,5.21,100.48,Good,58.80794324624633,8.579792333172758
2024-2025,,ASSAM,HAILAKANDI,1839547.0,260.942819308396,29.0,85.0,7376.0,14922.0,113326.0,15554.0,13088.0,2455.0,5184.360951772,62531.0,84262.0,122516.0,215368.0,17.0,170731.0,274966.0,22298.0,4756.932798,709381.0,87.0,64.43,4.24,99.95,Good,71.75966871862755,11.043433704697215
2024-2025,,ASSAM,BAKSA,1720116.0,248.529350378063,32.0,86.0,11587.0,29361.0,74177.0,7773.0,460323.625,77089.0,4132.964709438,48157.0,58576.0,98583.0,170765.0,35.0,168859.0,275109.0,40948.0,3926.179692,1023635.0,95.0,30.42,0.84,100.02,Good,58.38184520813223,10.782242550881179
2024-2025,,ASSAM,UDALGURI,2763459.0,249.892998243879,34.0,44.0,22035.0,30564.0,86512.0,12064.0,460323.625,111316.0,5827.20701125,58390.0,77572.0,143874.0,274522.0,133.0,235158.0,415861.0,52599.0,5057.279522,1215532.0,94.0,35.0,11.66,99.98,Good,61.181843696578476,10.974917047351175
2024-2025,,ASSAM,CHARAIDEO,718510.0,250.162857705866,22.0,31.0,1169.0,1933.0,2205.0,1195.0,4558.0,1910.0,717.408434475,10149.0,12440.0,42027.0,70569.0,54.0,83622.0,128471.0,3102.0,571.28441,128671.0,63.0,72.33,6.66,99.98,Good,50.258305230680925,9.225228984469933
2024-2025,,ASSAM,BAJALI,374082.0,247.922644353328,27.0,29.0,6707.0,3221.0,6239.0,2193.0,4601.0,2098.0,759.161137146,9262.0,13437.0,40879.0,85653.0,4.0,65370.0,124386.0,9928.0,623.39901,131267.0,92.0,28.79,0.51,99.64,Good,62.5348018968946,9.133783249254028
2024-2025,,ASSAM,GOALPARA,1201975.0,247.161053934624,25.0,35.0,14091.0,13933.0,20808.0,7176.0,167288.0,48814.0,2126.02948234,31024.0,43478.0,112208.0,228918.0,6.0,221253.0,399653.0,28024.0,1990.6376,418129.0,93.0,66.36,2.31,99.94,Good,50.71479256778439,10.342548610072807
2024-2025,,ASSAM,BARPETA,988584.0,249.503652519126,24.0,163.5,11969.0,8183.0,42273.0,9004.0,8008.0,2532.0,2266.190911906,30004.0,42171.0,174105.0,306382.0,22.0,268055.0,449010.0,20152.0,1862.81423,354183.0,88.0,40.65,0.4,100.02,Good,64.9512226968346,10.309119313423613
2024-2025,,ASSAM,DHEMAJI,2580503.0,248.223618495944,29.0,163.5,20320.0,29297.0,101519.0,15202.0,460323.625,113522.125,5780.65320887,65757.0,99843.0,127631.0,295314.0,109.0,195190.0,413789.0,49617.0,4823.411852,1148293.0,92.0,54.36,1.21,100.08,Good,65.38808340591218,11.093736615642253
2024-2025,,ASSAM,SIVASAGAR,1809240.0,252.292742441557,23.0,87.0,4401.0,8620.0,40820.0,8495.0,106644.0,13880.0,2103.217552131,32578.0,45029.0,83321.0,162235.0,51.0,125770.0,224171.0,13021.0,1909.69207,414497.0,80.0,45.13,18.97,99.97,Good,66.24870795897273,10.391423188007874
2024-2025,,ASSAM,HAILAKANDI,1776886.0,265.730489251708,24.0,75.0,6261.0,15623.0,87368.0,15390.0,10017.0,2433.0,3829.689871772,53344.0,70553.0,121039.0,212217.0,5.0,169805.0,272551.0,21884.0,3402.261718,495465.0,87.0,64.0,4.56,99.93,Good,71.28117546597568,10.884535531625561
2024-2025,,ASSAM,CHARAIDEO,686343.0,251.893038422649,21.0,29.0,921.0,1830.0,1779.0,1192.0,3929.0,1900.0,638.428629375,9258.0,11284.0,41783.0,70135.0,49.0,83585.0,128350.0,2751.0,498.24443,111977.0,59.5,73.77,7.22,99.99,Good,49.988634324340495,9.133351330448047
2024-2025,,ASSAM,MAJULI,519033.0,248.122765075187,25.0,19.0,2601.0,7191.0,41078.0,5576.0,161955.0,23128.0,888.651869,13222.0,19573.0,29020.0,48164.0,18.0,34708.0,55148.0,9792.0,852.08335,163896.0,94.0,27.0,8.96,99.96,Good,83.61184741270024,9.489713016556824
2024-2025,,ASSAM,SONITPUR,2272130.0,248.90595750236,22.0,38.0,7243.0,17322.0,27330.0,6355.0,47692.0,9952.0,2954.887571157,44575.0,49953.0,134938.0,180399.0,14.0,245928.0,308909.0,24565.0,2478.655306,595065.0,91.0,48.29,14.47,100.2,Good,54.86890472008067,10.704950876579533
2024-2025,,ASSAM,SIVASAGAR,1809240.0,251.215376115031,23.0,87.0,4394.0,8622.0,40743.0,8493.0,106602.0,13877.0,2080.404172131,32431.0,44784.0,83312.0,162215.0,49.0,125752.0,224138.0,13016.0,1886.87869,411432.0,80.0,44.95,18.93,99.96,Good,66.25103378077486,10.38690086869178
2024-2025,,ASSAM,DIBRUGARH,2033812.0,251.335598044172,19.0,58.0,5351.0,8262.0,32520.0,7693.0,75246.0,25555.0,2284.176007491,36483.0,46331.0,128864.0,229693.0,80.0,206870.0,333162.0,13613.0,1760.017739,425808.0,76.0,56.8,6.91,99.91,Good,62.292260840141154,10.50462908730005
2024-2025,,ASSAM,WEST KARBI ANGLONG,397442.0,255.077880674055,24.0,5.0,625.0,6666.0,867.0,1425.0,136466.0,39399.0,393.2845505,6082.0,7538.0,27680.0,53685.0,7.0,64102.0,114566.0,7291.0,386.44554,100035.0,93.0,67.35,4.18,99.65,Good,43.18117999438395,8.713253274320705
2024-2025,,ASSAM,BONGAIGAON,542513.0,263.584241647357,21.0,11.0,8484.0,15423.0,29811.0,10717.0,3486.0,2231.0,1184.830121371,13848.0,19463.0,84181.0,176151.0,4.0,157296.0,315825.0,23907.0,801.941876,147376.0,93.0,30.2,3.82,99.95,Good,53.51757196622927,9.535968306842717
2024-2025,,ASSAM,BARPETA,988584.0,250.074831880184,25.0,163.5,11991.0,8178.0,43454.0,8952.0,8140.0,2500.0,2289.501081906,30127.0,42332.0,173906.0,303637.0,22.0,267911.0,446127.0,20169.0,1886.1244,357182.0,88.0,40.68,0.39,100.02,Good,64.91185505634334,10.313210250896933
2024-2025,,ASSAM,NALBARI,1349842.0,250.296008408286,22.0,26.0,13924.0,14356.0,30796.0,7146.0,20857.0,4362.0,2241.743980648,34521.0,48479.0,115005.0,201831.0,31.0,177307.0,291738.0,28280.0,1921.807794,402690.0,89.0,36.73,14.84,100.03,Good,64.8620753833746,10.449352080946635
2024-2025,,ASSAM,SONITPUR,2272130.0,248.019617223022,22.0,39.0,7387.0,17286.0,28110.0,6354.0,48892.0,9952.0,3030.184511157,45430.0,50961.0,135123.0,180620.0,15.0,246004.0,308994.0,24673.0,2553.952246,614773.0,91.0,48.56,14.44,100.19,Good,54.92715565600559,10.72394997039761
2024-2025,,ASSAM,NAGAON,2375005.0,250.824238214344,24.0,163.5,13953.0,21908.0,119399.0,18305.0,57117.0,11667.0,5278.645512616,76624.0,103753.0,217886.0,356696.0,86.0,378000.5,563572.0,35861.0,4694.153044,980363.0,89.0,30.74,19.58,100.0,Good,57.641722696134,11.246678673238513
2024-2025,,ASSAM,GOLAGHAT,2173997.0,248.312529932617,25.0,64.0,13815.0,15918.0,56168.0,14955.0,142785.0,34423.0,2602.694297887,30310.0,40185.0,135713.0,271099.0,126.0,221378.0,412318.0,29733.0,1917.347683,413973.0,92.0,19.96,21.89,100.01,Good,61.30374291935061,10.319265961919356
2024-2025,,ASSAM,TINSUKIA,1667826.0,256.186450865662,19.0,19.0,4407.0,9235.0,7538.0,2745.0,45682.0,16573.0,1228.525813327,21923.0,26513.0,105966.0,169998.0,5.0,204772.0,290197.0,13642.0,1108.15755,259206.0,80.0,58.66,5.58,100.09,Good,51.748285898462676,9.995337206166006
2024-2025,,ASSAM,KARBI ANGLONG,1107169.0,247.830430236413,35.0,27.0,6584.0,14002.0,37375.0,9260.0,460323.625,113522.125,3354.335103293,36782.0,43913.0,92558.0,171865.0,44.0,157016.0,268465.0,20586.0,3206.83407,834038.0,78.0,49.25,37.61,100.13,Good,58.94813267437713,10.512791060900497
2024-2025,,ASSAM,KARIMGANJ,2254418.0,246.427512846838,21.0,27.0,14744.0,27811.0,121100.0,23199.0,10427.0,1772.0,2340.695633136,35884.0,41854.0,136304.0,182403.0,53.0,225415.0,282672.0,42555.0,1876.95458,351475.0,96.0,57.78,3.73,99.97,Good,60.468025641594394,10.488074659864171
2024-2025,,ASSAM,HOJAI,1086013.0,250.807614278888,23.0,163.5,3791.0,20999.0,100241.0,20645.0,28100.0,5455.0,1757.710653585,25121.0,33220.0,89914.0,155842.0,4.0,159391.0,253116.0,24790.0,1511.707782,318687.0,93.0,28.32,4.48,99.91,Good,56.410964232610375,10.131499235247198
2024-2025,,ASSAM,KAMRUP,2119994.0,251.406621709779,29.0,48.0,7889.0,24531.0,105036.0,22225.0,166093.0,42438.0,3660.218135059,46451.0,62424.0,164884.0,323470.0,120.0,361979.0,654835.0,32420.0,3487.65093,731569.0,92.0,32.52,28.45,100.01,Good,45.55070874277237,10.74617480036565
2024-2025,,ASSAM,DIBRUGARH,2033812.0,251.898432711537,19.0,58.0,5382.0,8261.0,33582.0,7701.0,76503.0,25562.0,2331.642877491,37030.0,47060.0,128925.0,229636.0,89.0,206889.0,333038.0,13643.0,1807.484609,436696.0,76.0,57.13,6.81,99.91,Good,62.31602453489552,10.519510678674001
2024-2025,,ASSAM,HOJAI,1086013.0,252.219326110133,24.0,163.5,3832.0,20964.0,101095.0,20647.0,28100.0,5455.0,1771.917183585,25169.0,33297.0,89917.0,155850.0,4.0,159398.0,253130.0,24796.0,1525.914312,319767.0,93.0,28.3,4.51,99.91,Good,56.41036901341296,10.133408088129361
2024-2025,,ASSAM,MAJULI,519033.0,246.163502986349,26.0,19.0,2601.0,7210.0,41458.0,5578.0,163553.0,23129.0,892.599639,13281.0,19659.0,29028.0,48173.0,19.0,34716.0,55160.0,9811.0,856.03112,165901.0,94.0,26.71,9.0,99.96,Good,83.61562391980642,9.494165014100659
2024-2025,,ASSAM,TAMULPUR,1144033.0,231.941643522812,21.0,4.0,5292.0,22058.0,47516.0,16749.0,179107.0,51844.0,1184.43922506,17571.0,22919.0,62526.0,127821.0,1.0,123581.0,218850.0,27350.0,887.75896,226545.0,94.0,38.1,1.91,100.65,Good,50.595156213333766,9.77406200509567
2024-2025,,ASSAM,GOALPARA,1264770.0,247.800414335821,29.0,44.0,14969.0,14188.0,24262.0,6839.0,219856.0,47126.0,2757.62600244,34394.0,48484.0,110461.0,220811.0,31.0,219163.0,390630.0,29157.0,2493.93771,523718.0,93.0,64.5,2.72,100.02,Good,50.40129948942111,10.445666483960114
2024-2025,,ASSAM,NALBARI,1454258.0,249.517783893005,24.0,27.0,15726.0,13206.0,38037.0,7204.0,25143.0,4388.0,2916.327259248,42838.0,58869.0,116281.0,203677.0,54.0,177485.0,292366.0,28932.0,2593.238328,545833.0,89.0,36.94,17.14,99.98,Good,65.5159590951348,10.665204181618838
2024-2025,,ASSAM,LAKHIMPUR,2464136.0,248.251672397652,26.0,50.0,10352.0,29246.0,67574.0,15260.0,354849.0,77984.0,3372.332119021,41734.0,63692.0,140253.0,295302.0,93.0,227452.0,442712.0,39598.0,2789.643763,596145.0,92.0,47.01,5.08,99.93,Good,61.66268047763924,10.639095384284838
2024-2025,,ASSAM,NAGAON,2503508.0,250.156542534706,27.0,163.5,18393.0,18858.0,145396.0,18428.0,70140.0,11573.0,6744.116512556,86448.0,118276.0,218057.0,355176.0,222.0,378000.5,558296.0,37251.0,6010.473724,1262833.0,89.0,30.17,20.5,99.94,Good,57.68696073153342,11.367309923664546
2024-2025,,ASSAM,DIBRUGARH,2221039.0,248.368242264689,21.0,81.0,7105.0,7422.0,44882.0,7716.0,102754.0,25598.0,3109.867772245,44539.0,57111.0,129312.0,229054.0,227.5,206286.0,330756.0,14527.0,2371.765209,579612.0,77.0,58.21,6.59,99.9,Good,62.68578575375935,10.704142940811359
2024-2025,,ASSAM,KARBI ANGLONG,1109856.0,247.109983104551,35.0,27.0,7864.0,15041.0,41534.0,9167.0,460323.625,113522.125,3736.829264073,39881.0,48125.0,91347.0,167668.0,105.0,153017.0,260179.0,22905.0,3508.73689,912801.0,80.0,47.38,34.6,100.07,Good,59.697288536567825,10.593680373269637
2024-2025,,ASSAM,HAILAKANDI,1902208.0,255.918332698931,30.0,85.0,7695.0,14750.0,120070.0,15607.0,13802.0,2473.0,5504.045472822,64061.0,86754.0,122952.0,216475.0,21.0,171310.0,276383.0,22445.0,5022.338418,764482.0,87.0,65.2,4.25,99.96,Good,71.7716420524196,11.067606643406357
2024-2025,,ASSAM,CHIRANG,1583925.0,250.715382642687,32.0,25.0,16049.0,19683.0,47871.0,10391.0,460323.625,76248.0,3095.242020622,24925.0,34863.0,78672.0,163149.0,35.0,130123.0,258322.0,35732.0,2053.035561,471323.0,94.0,21.79,2.08,99.99,Good,60.459718881366086,10.123666714386323
2024-2025,,ASSAM,HOJAI,1166406.0,250.508795168452,26.0,163.5,11897.0,13578.0,123645.0,20259.0,35334.0,5475.0,2075.984516385,27792.0,37243.0,89927.0,155869.0,7.0,159098.0,252499.0,25475.0,1820.091692,382828.0,93.0,25.93,5.71,99.92,Good,56.52302354523627,10.232539469410996
2024-2025,,ASSAM,CHARAIDEO,750677.0,249.350722706718,23.0,31.0,1295.0,1919.0,2411.0,1195.0,4825.0,1907.0,766.505897075,10580.0,13044.0,42002.0,70438.0,63.0,83537.0,128255.0,3214.0,617.59187,139445.0,64.0,71.11,6.27,100.01,Good,50.27951686079223,9.266815218904162
2024-2025,,ASSAM,SOUTH SALMARA-MANKACHAR,585968.0,239.104706697114,22.0,31.0,6345.0,26239.0,9526.0,1005.0,1825.0,700.0,1874.583911279,23430.0,26369.0,77806.0,100814.0,0.0,139567.0,171313.0,32584.0,1277.440806,248460.0,97.0,9.95,0.4,99.53,Bad,55.74813530419082,10.061815210915432
2024-2025,,ASSAM,BAJALI,382373.0,247.425659638207,27.0,29.0,6817.0,3277.0,6458.0,2124.0,4715.0,2020.0,829.815734936,9474.0,13755.0,40726.0,83925.0,7.0,64643.0,121427.0,10094.0,644.22219,135695.0,92.0,28.06,0.54,99.65,Good,63.00140773169562,9.156412029950626
2024-2025,,ASSAM,GOALPARA,1264770.0,248.185665971424,29.0,51.0,15152.0,14194.0,24663.0,6824.0,228335.0,47259.0,2889.545898502,34760.0,49072.0,110352.0,220671.0,36.0,219009.0,390316.0,29346.0,2546.43457,534894.0,93.0,63.76,2.86,100.02,Good,50.38697039847677,10.456251347665171
2024-2025,,ASSAM,SONITPUR,2461736.0,248.060544484937,26.0,46.0,9817.0,16200.0,38490.0,5943.0,64852.0,9357.0,3993.766834957,53316.0,60112.0,129050.0,169981.0,49.0,236594.0,294120.0,26017.0,3517.04457,846114.0,91.0,48.7,15.83,100.15,Good,54.544916608198015,10.884010508643746
2024-2025,,ASSAM,LAKHIMPUR,2464136.0,249.212313016384,27.0,61.0,10596.0,29358.0,70810.0,15166.0,367591.0,77524.0,3566.672233771,43218.0,66108.0,139766.0,293745.0,116.0,226610.0,440524.0,39954.0,2927.335053,623368.0,92.0,46.93,5.22,99.93,Good,61.67688981068796,10.67403549235683
2024-2025,,ASSAM,JORHAT,2018189.0,249.754316095651,24.0,36.0,4666.0,6580.0,59293.0,8164.0,107685.0,10818.0,2276.813774353,35404.0,40121.0,87275.0,132849.0,129.0,169861.0,237574.0,11246.0,2166.3739329,550739.0,80.0,56.97,10.82,100.04,Good,51.380246201305766,10.474608332085875
2024-2025,,ASSAM,BAKSA,1764230.0,247.106449901811,34.0,92.0,13428.0,28519.0,80539.0,7746.0,460323.625,77465.0,4640.180291497,50107.0,61256.0,98755.0,170560.0,50.0,168483.0,273889.0,41947.0,4285.848862,1124828.0,95.0,29.81,0.81,100.02,Good,58.61422220639471,10.821935954964083
2024-2025,,ASSAM,MAJULI,551061.0,245.545227176126,30.0,21.0,3994.0,6688.0,54368.0,5127.0,213364.0,21950.0,1168.997878,14714.0,22044.0,26983.0,44749.0,54.0,32558.0,51752.0,10682.0,1097.61172,212758.0,95.0,23.8,9.23,100.02,Good,82.87671232876713,9.596622660667574
2024-2025,,ASSAM,NALBARI,1454258.0,249.814347075857,25.0,27.0,17452.0,11650.0,40420.0,7228.0,26613.0,4404.0,3089.750349248,44136.0,60716.0,116416.0,203918.0,66.0,177486.0,292380.0,29102.0,2766.661418,582283.0,89.0,36.59,16.96,100.02,Good,65.59165229933629,10.695053711936849
2024-2025,,ASSAM,DARRANG,1221659.0,255.710944691608,31.0,64.0,6717.0,4188.0,42500.0,7562.0,5866.0,1125.0,5389.838379582,55573.0,84762.0,144277.0,279868.0,222.0,223821.0,396991.0,10905.0,4459.051654,870271.0,77.0,42.75,37.38,99.96,Good,64.46088615456101,10.925470744968305
2024-2025,,ASSAM,WEST KARBI ANGLONG,432969.0,251.751837838394,27.0,6.0,1541.0,6294.0,1150.0,1466.0,173510.0,40267.0,512.023448,7123.0,8826.0,28198.0,54726.0,16.0,64477.0,115323.0,7835.0,489.71271,127596.0,93.0,66.2,3.9,99.53,Bad,43.7334243218512,8.871224644409553
2024-2025,,ASSAM,KOKRAJHAR,2388601.0,247.812031211335,35.0,138.0,20887.0,27233.0,39815.0,5908.0,460323.625,113522.125,8072.639582417,76574.0,111479.0,150477.0,313946.0,227.5,252490.0,509523.0,48120.0,6829.8234862,1527699.0,92.0,59.29,4.89,100.65,Good,59.5972117707632,11.246025931700975
2024-2025,,ASSAM,BARPETA,1037766.0,249.624664434711,27.0,163.5,14149.0,9097.0,64636.0,8655.0,9500.0,2342.0,2922.506980106,36214.0,51556.0,167717.0,283712.0,82.0,261176.0,425150.0,23246.0,2505.989495,469821.0,89.0,38.29,0.69,100.01,Good,64.21608417312463,10.497228676629426
